,date,secid,open,close,low,high,volume,currency,capitalization
978,2013-03-21,MOEXBC,9880.78,9916.49,9875.22,9960.98,1653016752.61,RUB,3757048655040.01
979,2013-03-22,MOEXBC,9916.5,9796.27,9796.27,9921.2,1483306719.06,RUB,3711501773854.59
980,2013-03-25,MOEXBC,9796.27,9711.15,9700.22,9899.39,870268896.11,RUB,3679254850341.08
981,2013-03-26,MOEXBC,9711.15,9639.41,9624.83,9754.88,1352622259.84,RUB,3652074823207.02
982,2013-03-27,MOEXBC,9639.41,9682.34,9566.1,9703.22,1258661588.5358,RUB,3668337461463.08
983,2013-03-28,MOEXBC,9682.34,9730.54,9607.98,9730.54,1647870351.1,RUB,3686598285801.99
984,2013-03-29,MOEXBC,9730.54,9766.5,9725.84,9770.44,661053132.494,RUB,3700224277492.46
985,2013-04-01,MOEXBC,9766.5,9692.96,9689.35,9795.34,717276144.57,RUB,3672359976749.81
986,2013-04-02,MOEXBC,9692.96,9726.48,9680.58,9749.75,888012945.8,RUB,3685062093106.56
987,2013-04-03,MOEXBC,9726.48,9706.99,9671.43,9742.71,796526099.82,RUB,3677678461685.1
988,2013-04-04,MOEXBC,9706.99,9724.48,9637.61,9803.28,1269992899.434,RUB,3684302916602.88
989,2013-04-05,MOEXBC,9724.48,9643.4,9613.49,9744.63,549270621.39,RUB,3653585422337.26
990,2013-04-08,MOEXBC,9643.4,9592.76,9591.87,9722.26,834269087.67,RUB,3634399271592.16
991,2013-04-09,MOEXBC,9592.76,9714.99,9590.55,9719.87,681275341.16,RUB,3680708101396.91
992,2013-04-10,MOEXBC,9714.99,9689.8,9670.94,9752.73,471587765.6651,RUB,3671164290459.61
993,2013-04-11,MOEXBC,9689.8,9543.06,9530.03,9710.58,874600241.34,RUB,3615569596115.78
994,2013-04-12,MOEXBC,9543.06,9461.14,9428.87,9544.63,988316695.57,RUB,3584533387149.06
995,2013-04-15,MOEXBC,9461.14,9254.16,9243.37,9470.19,1026847978.87,RUB,3506112286989.32
996,2013-04-16,MOEXBC,9254.16,9260.12,9227.08,9343.64,719824262.3068,RUB,3508370344244.59
997,2013-04-17,MOEXBC,9260.12,9150.46,9101.12,9299.87,964124733.3818,RUB,3466824833644.08
998,2013-04-18,MOEXBC,9150.46,9145.13,9133.07,9250.68,910498953.79,RUB,3464806048750.66
999,2013-04-19,MOEXBC,9145.13,9150.91,9109.94,9210.97,481008401.9479,RUB,3466994067717.8
1000,2013-04-22,MOEXBC,9150.91,9082.72,9051.37,9240.97,664296893.28,RUB,3441160313490.52
1001,2013-04-23,MOEXBC,9082.72,9157,9022.43,9157.43,399442075.53,RUB,3469302717543.98
1002,2013-04-24,MOEXBC,9157,9363.04,9144.47,9364.45,457720204.41,RUB,3547366872847.04
1003,2013-04-25,MOEXBC,9363.04,9297.84,9288.8,9432.53,462287450.02,RUB,3522661244700.41
1004,2013-04-26,MOEXBC,9297.84,9290.47,9251.36,9340.78,517101484.75,RUB,3519870616802.75
1005,2013-04-29,MOEXBC,9290.47,9222.39,9220.2,9343.61,379641807.15,RUB,3494077036767.05
1006,2013-04-30,MOEXBC,9222.39,9392.15,9219.56,9414.75,499730125.21,RUB,3558395181997.25
1007,2013-05-02,MOEXBC,9392.15,9356.31,9310.39,9395.82,353796474.15,RUB,3544814768312.77
1008,2013-05-03,MOEXBC,9356.31,9498.95,9356.31,9498.95,480644036.0598,RUB,3598857923244.78
1009,2013-05-06,MOEXBC,9498.95,9539.04,9482.89,9555.47,305418367.0741,RUB,3614044749699.8
1010,2013-05-07,MOEXBC,9539.04,9608.57,9484.72,9628.38,450620247.73,RUB,3640390213208.25
1011,2013-05-08,MOEXBC,9608.57,9670.46,9576.23,9670.46,493252139.16,RUB,3663835622899.77
1012,2013-05-10,MOEXBC,9670.46,9656.19,9647.3,9741.58,678389239.2636,RUB,3658429556543.73
1013,2013-05-13,MOEXBC,9656.19,9612.32,9577.38,9675.61,470791385.43,RUB,3641809421369.2
1014,2013-05-14,MOEXBC,9608.23,9540.29,9485.61,9608.23,873141847.23,RUB,3614518816311.89
1015,2013-05-15,MOEXBC,9540.29,9416.83,9389.91,9540.29,736452907.23,RUB,3567745174454.29
1016,2013-05-16,MOEXBC,9416.83,9337.3,9337.3,9435.05,679143758.99,RUB,3537612649814.15
1017,2013-05-17,MOEXBC,9337.3,9480.07,9335.61,9502.87,266736785.39,RUB,3591702680965.79
1018,2013-05-20,MOEXBC,9480.07,9550.53,9467.42,9596.47,303089593.54,RUB,3618401060035.33
1019,2013-05-21,MOEXBC,9550.53,9604.86,9482.14,9635.93,222069090.34,RUB,3638984590399.51
1020,2013-05-22,MOEXBC,9604.86,9768.01,9604.86,9774.3,242216800.6246,RUB,3700796964757.13
