,date,open,high,low,close,volume,capitalization,currency,secid
1788,2002-11-26,3.1667,3.1667,3.1667,3.1667,0.0,0.0,USD,STOOQ:rubeur
1789,2002-11-27,3.1654,3.1654,3.1654,3.1654,0.0,0.0,USD,STOOQ:rubeur
1790,2002-11-28,3.1609,3.1609,3.1609,3.1609,0.0,0.0,USD,STOOQ:rubeur
1791,2002-11-29,3.1611,3.1611,3.1611,3.1611,0.0,0.0,USD,STOOQ:rubeur
1792,2002-12-02,3.1614,3.1614,3.1614,3.1614,0.0,0.0,USD,STOOQ:rubeur
1793,2002-12-03,3.1493,3.1493,3.1493,3.1493,0.0,0.0,USD,STOOQ:rubeur
1794,2002-12-04,3.1351,3.1351,3.1351,3.1351,0.0,0.0,USD,STOOQ:rubeur
1795,2002-12-05,3.1401,3.1401,3.1401,3.1401,0.0,0.0,USD,STOOQ:rubeur
1796,2002-12-06,3.1346,3.1346,3.1346,3.1346,0.0,0.0,USD,STOOQ:rubeur
1797,2002-12-09,3.1043,3.1043,3.1043,3.1043,0.0,0.0,USD,STOOQ:rubeur
1798,2002-12-10,3.0978,3.0978,3.0978,3.0978,0.0,0.0,USD,STOOQ:rubeur
1799,2002-12-11,3.1115,3.1115,3.1115,3.1115,0.0,0.0,USD,STOOQ:rubeur
1800,2002-12-12,3.0973,3.0973,3.0973,3.0973,0.0,0.0,USD,STOOQ:rubeur
1801,2002-12-13,3.0613,3.0613,3.0613,3.0613,0.0,0.0,USD,STOOQ:rubeur
1802,2002-12-16,3.0751,3.0751,3.0751,3.0751,0.0,0.0,USD,STOOQ:rubeur
1803,2002-12-17,3.0425,3.0425,3.0425,3.0425,0.0,0.0,USD,STOOQ:rubeur
1804,2002-12-18,3.0589,3.0589,3.0589,3.0589,0.0,0.0,USD,STOOQ:rubeur
1805,2002-12-19,3.0576,3.0576,3.0576,3.0576,0.0,0.0,USD,STOOQ:rubeur
1806,2002-12-20,3.0619,3.0619,3.0619,3.0619,0.0,0.0,USD,STOOQ:rubeur
1807,2002-12-23,3.0497,3.0497,3.0497,3.0497,0.0,0.0,USD,STOOQ:rubeur
1808,2002-12-24,3.0584,3.0584,3.0584,3.0584,0.0,0.0,USD,STOOQ:rubeur
1809,2002-12-27,3.025,3.025,3.025,3.025,0.0,0.0,USD,STOOQ:rubeur
1810,2002-12-30,3.0042,3.0042,3.0042,3.0042,0.0,0.0,USD,STOOQ:rubeur
1811,2002-12-31,2.9887,2.9887,2.9887,2.9887,0.0,0.0,USD,STOOQ:rubeur
1812,2003-01-02,3.0378,3.0378,3.0378,3.0378,0.0,0.0,USD,STOOQ:rubeur
1813,2003-01-03,3.0624,3.0624,3.0624,3.0624,0.0,0.0,USD,STOOQ:rubeur
1814,2003-01-06,3.046,3.046,3.046,3.046,0.0,0.0,USD,STOOQ:rubeur
1815,2003-01-07,3.0132,3.0132,3.0132,3.0132,0.0,0.0,USD,STOOQ:rubeur
1816,2003-01-08,3.0125,3.0125,3.0125,3.0125,0.0,0.0,USD,STOOQ:rubeur
1817,2003-01-09,2.9813,2.9813,2.9813,2.9813,0.0,0.0,USD,STOOQ:rubeur
1818,2003-01-10,2.9876,2.9876,2.9876,2.9876,0.0,0.0,USD,STOOQ:rubeur
1819,2003-01-13,2.9801,2.9801,2.9801,2.9801,0.0,0.0,USD,STOOQ:rubeur
1820,2003-01-14,2.9697,2.9697,2.9697,2.9697,0.0,0.0,USD,STOOQ:rubeur
1821,2003-01-15,2.9871,2.9871,2.9871,2.9871,0.0,0.0,USD,STOOQ:rubeur
1822,2003-01-16,2.9747,2.9747,2.9747,2.9747,0.0,0.0,USD,STOOQ:rubeur
1823,2003-01-17,2.9477,2.9477,2.9477,2.9477,0.0,0.0,USD,STOOQ:rubeur
1824,2003-01-20,2.9476,2.9476,2.9476,2.9476,0.0,0.0,USD,STOOQ:rubeur
1825,2003-01-21,2.9483,2.9483,2.9483,2.9483,0.0,0.0,USD,STOOQ:rubeur
1826,2003-01-22,2.9367,2.9367,2.9367,2.9367,0.0,0.0,USD,STOOQ:rubeur
1827,2003-01-23,2.9213,2.9213,2.9213,2.9213,0.0,0.0,USD,STOOQ:rubeur
1828,2003-01-24,2.9174,2.9174,2.9174,2.9174,0.0,0.0,USD,STOOQ:rubeur
1829,2003-01-27,2.8902,2.8902,2.8902,2.8902,0.0,0.0,USD,STOOQ:rubeur
1830,2003-01-28,2.9137,2.9137,2.9137,2.9137,0.0,0.0,USD,STOOQ:rubeur
1831,2003-01-29,2.8899,2.8899,2.8899,2.8899,0.0,0.0,USD,STOOQ:rubeur
1832,2003-01-30,2.9202,2.9202,2.9202,2.9202,0.0,0.0,USD,STOOQ:rubeur
1833,2003-01-31,2.9017,2.9017,2.9017,2.9017,0.0,0.0,USD,STOOQ:rubeur
1834,2003-02-03,2.9299,2.9299,2.9299,2.9299,0.0,0.0,USD,STOOQ:rubeur
1835,2003-02-04,2.9094,2.9094,2.9094,2.9094,0.0,0.0,USD,STOOQ:rubeur
1836,2003-02-05,2.8789,2.8789,2.8789,2.8789,0.0,0.0,USD,STOOQ:rubeur
1837,2003-02-06,2.9087,2.9087,2.9087,2.9087,0.0,0.0,USD,STOOQ:rubeur
1838,2003-02-07,2.9189,2.9189,2.9189,2.9189,0.0,0.0,USD,STOOQ:rubeur
