,date,secid,open,close,low,high,volume,currency,capitalization
1505,2001-09-06,RTSI,211.5,208.78,208.78,211.5,6943740,USD,47173452223.7603
1506,2001-09-07,RTSI,208.93,207.21,207.19,208.93,17110571,USD,46817660585.3396
1507,2001-09-10,RTSI,207.43,205.59,205.14,208.27,6685960,USD,46452798319.1469
1508,2001-09-11,RTSI,206.99,206.13,206.13,207.67,14850330,USD,46574266253.055
1509,2001-09-12,RTSI,200.15,195.11,193.88,200.15,25706946,USD,44085407032.0618
1510,2001-09-13,RTSI,195.75,198.61,195.68,198.61,8942210,USD,44874728834.0549
1511,2001-09-14,RTSI,197.72,192.03,192.03,197.78,8446258,USD,43389304222.8565
1512,2001-09-17,RTSI,188.9,189.93,186.71,190.02,15067735,USD,42914250624.8596
1513,2001-09-18,RTSI,191.85,193.98,191.85,193.98,8231380,USD,43828934551.6822
1514,2001-09-19,RTSI,196.95,199.21,196.95,199.21,8763892,USD,45011694529.3213
1515,2001-09-20,RTSI,196.15,193.6,193.6,196.15,8570800,USD,43744524014.7354
1516,2001-09-21,RTSI,189.4,183.67,183.57,189.4,22655103,USD,41499121465.77
1517,2001-09-24,RTSI,189.4,186.02,183.66,189.67,9654253,USD,42030770042.9515
1518,2001-09-25,RTSI,179.32,179.2,176.64,179.32,20001615,USD,40488891408.6644
1519,2001-09-26,RTSI,177.04,176.79,176.53,178.08,9874089,USD,39944852610.0485
1520,2001-09-27,RTSI,176.97,176.49,176.49,177.48,7370047,USD,39878087894.074
1521,2001-09-28,RTSI,178.76,180.25,178.76,180.79,8247208,USD,40728118202.0576
1522,2001-10-01,RTSI,181.71,179.9,179.67,182.6,8015366,USD,40102953590.9043
1523,2001-10-02,RTSI,180.04,178.12,177.93,180.04,8193104,USD,41341986744.096
1524,2001-10-03,RTSI,176.56,174.2,173.69,176.56,10852276,USD,40432350256.7987
1525,2001-10-04,RTSI,175.59,175.9,175.23,176.7,8377978,USD,40825379161.5188
1526,2001-10-05,RTSI,175.1,176.76,175.1,177.3,8579900,USD,41026131279.9324
1527,2001-10-08,RTSI,175.06,175.83,174.52,175.83,5645683,USD,40810288704.3774
1528,2001-10-09,RTSI,176.43,178.59,176.43,178.59,6785334,USD,41451275949.9809
1529,2001-10-10,RTSI,180.98,183.88,180.98,183.88,16276148,USD,42678497145.5772
1530,2001-10-11,RTSI,187.53,191.45,187.53,191.45,25774826,USD,44434415794.7815
1531,2001-10-12,RTSI,193.04,190.89,190.11,193.04,23564865,USD,44305469011.1661
1532,2001-10-15,RTSI,188.01,188.75,188.01,188.75,6369860,USD,43807363935.8503
1533,2001-10-16,RTSI,190.34,192.21,190.34,192.21,7045509,USD,44611762467.0317
1534,2001-10-17,RTSI,196.01,197.55,196.01,198,17151750,USD,45850774267.391
1535,2001-10-18,RTSI,194.21,191.4,191.4,194.21,8940123,USD,44424034044.3972
1536,2001-10-19,RTSI,191.24,190.98,189.3,191.34,9761135,USD,44326065613.8328
